label,p1,p2,p3,p4,p5
P13,-6.836,-5.8957,-2.0621,0.63,2.6829
P14,-6.8472,-6.0397,-2.0152,1.6625,2.5643
P15,-8.0975,-2.7737,-1.8317,3.7353,2.9828
P16,-7.4272,-3.5374,-3.2273,2.2273,2.2678
P17,-8.3123,-1.3139,-2.1608,4.4133,3.5353
P18,-7.2788,-5.0191,-2.2401,1.9579,3.1483
P01,-8.4946,5.4558,-0.9331,1.6101,-0.3916
P02,-7.4572,4.1989,-0.835,0.4668,-0.7054
P03,-8.7538,4.7201,-1.1903,0.8072,-0.1602
P04,-9.0424,5.3255,-0.4978,2.7442,0.9818
P05,-8.2796,6.1771,-2.1501,0.6973,0.2207
P06,-9.0121,5.5082,-0.4377,0.7336,-0.8428
P07,-8.8395,2.7072,2.9306,-0.6118,0.1511
P08,-9.4582,8.8411,5.161,-2.9908,-2.2336
P09,-6.7136,-4.3752,1.1275,-2.6091,-0.6738
P10,-6.7202,-6.4967,-0.5521,-0.9311,0.8324
P11,-7.0054,-0.3871,3.0106,-1.3507,-1.1983
P12,-8.8396,1.798,1.867,-1.1585,-1.0492
P19,-8.529,3.0107,0.2497,-0.9585,-0.7703
P20,-8.8948,3.5913,0.6504,-0.8148,-0.8545
P21,-9.3473,6.1859,0.3002,0.7482,-0.1386
P22,-7.2021,-3.6997,-1.5261,-4.1944,-2.9057
P23,-7.4625,-0.1262,0.6648,-1.9737,-2.2586
P24,-5.6594,-0.9373,-0.7599,-6.032,-3.746
T13,5.3562,-6.7967,0.9115,2.4662,-0.6505
T14,6.5351,-5.0123,-0.0019,1.9872,-1.3569
T15,4.6275,-6.073,2.471,3.5846,-1.6736
T16,5.9929,-2.4601,-0.2983,-0.2295,1.8017
T17,4.7711,-7.9283,-2.5895,-1.504,-2.0768
T18,5.8488,-5.9813,-1.5586,0.5471,-2.4743
T01,1.9091,-7.4964,2.7613,1.7406,1.6843
T02,13.1467,7.6348,-4.2383,1.5256,0.1762
T03,10.6625,4.3493,-1.5938,1.5789,-0.1542
T04,11.1669,4.996,-2.9057,1.7896,1.5585
T05,10.8991,4.3472,-4.0106,0.1959,-0.6065
T06,13.489,8.8009,-2.5378,0.5243,3.7995
T07,7.0831,-1.6125,1.2153,-1.8503,3.2498
T08,9.3536,1.1835,1.4324,-2.0099,2.7546
T09,8.6802,1.5808,4.0054,-1.4127,2.0921
T10,2.1653,-8.3495,2.3668,-2.0612,1.0342
T11,8.0222,0.2926,2.096,-9.7079,8.0386
T12,5.838,-2.0184,4.9458,1.3307,-0.5386
T19,6.7268,-4.8613,-3.8389,-1.6233,-2.9267
T20,9.3013,-0.0186,-3.6862,-2.0233,-5.6264
T21,9.2312,0.1781,-4.4764,-1.0181,-5.3372
T22,7.8438,0.542,6.1725,3.6012,-4.1836
T23,9.4604,1.5594,9.0906,4.6509,-1.0534
T24,12.3993,6.2254,0.7252,-0.8907,1.0302
